18,6,2
35,18,10
31,13,7
34,11,6
25,16,7
35,27,13
34,35,18
35,35,29
34,30,19
27,7,3
32,23,12
28,29,11
0,0,21
36,33,18
35,32,13
38,32,15
37,37,16
16,14,4
26,36,15
34,41,21
22,29,14
31,36,15
60,31,22
64,25,16
58,25,13
57,21,14
65,22,14
55,30,15
52,49,22
52,65,39
61,67,41
61,71,47
64,70,50
68,48,41
46,16,7
51,10,9
47,9,8
51,35,17
53,52,32
48,52,23
48,55,26
60,66,32
64,72,59
63,67,36
52,60,27
45,52,24
54,61,27
62,68,31
66,67,29
65,62,26
56,50,19
65,57,32
61,43,22
61,73,52
62,73,60
60,71,54
66,73,67
68,67,60
42,40,19
50,59,36
57,68,45
66,61,42
50,22,10
47,21,9
41,22,11
59,42,31
47,39,19
36,44,20
39,48,22
42,57,26
44,61,29
48,64,29
53,66,31
56,69,33
45,28,15
40,29,16
39,35,19
38,45,25
41,53,29
39,53,28
37,56,27
38,58,27
39,58,29
41,60,30
61,67,52
40,41,30
50,47,27
42,18,7
43,10,7
43,45,22
55,56,24
57,62,26
41,48,23
42,52,26
42,57,29
48,57,29
57,64,27
52,20,9
50,8,8
55,11,10
58,12,11
60,15,12
56,17,10
61,17,12
68,27,17
48,28,10
51,16,8
33,46,20
38,53,24
44,58,26
48,60,29
36,30,15
36,51,25
39,53,27
38,55,26
40,56,28
39,56,25
55,57,30
44,50,30
46,59,33
0,15,10
61,13,11
63,15,12
57,71,58
39,41,22
39,51,23
37,48,21
49,60,27
37,52,25
50,56,24
43,53,24
49,58,27
48,63,36
64,17,11
64,17,12
35,50,22
42,55,24
36,48,22
59,12,11
63,13,11
65,18,14
32,50,25
65,17,12
65,19,13
53,69,54
40,17,7
0,58,25
32,46,23
53,65,48
63,14,12
67,17,12
66,17,13
35,38,19
0,16,14
11,1,1
55,7,7
59,9,9
65,15,12
0,72,0
34,53,24
57,16,13
59,18,15
62,9,10
63,10,11
65,12,11
67,18,12
51,59,26
50,59,29
41,50,26
38,51,26
50,14,11
56,13,12
37,15,8
61,11,10
64,65,28
69,61,56
48,62,50
67,15,12
7,1,1
36,51,29
29,43,18
35,57,27
64,66,29
69,34,25
33,40,17
37,49,29
37,52,31
36,55,29
64,68,29
36,9,6
31,8,5
31,5,3
23,5,2
40,50,33
17,1,1
15,1,1
13,0,0
38,54,35
40,61,38
13,1,1
43,62,0
47,68,53
26,2,2
14,1,1
62,13,12
38,58,34
30,3,2
49,45,35
58,66,29
63,15,14
46,64,39
47,55,24
47,66,49
38,61,31
69,20,16
44,61,39
41,4,4
32,2,2
68,19,13
43,61,34
22,1,1
19,1,1
20,1,1
35,58,29
36,59,31
40,62,32
69,22,15
38,22,13
42,65,38
23,1,1
25,1,1
24,1,1
27,2,2
29,2,2
27,1,1
31,2,2
30,2,2
44,5,5
58,64,28
60,64,27
61,67,29
59,67,29
70,68,64
0,0,62
36,3,3
47,6,6
33,2,2
49,4,5
47,4,4
44,4,119
44,3,4
43,3,4
51,6,6
